"Iteration","Lambda_Min"
1,0.0321039781095252
2,0.0163419200424954
3,0.0258466192750205
4,0.0395349726096952
5,0.0239214906895342
6,0.0242436450919547
7,0.0548023059671527
8,0.000539312448045349
9,0.000538619548619683
10,0.0470162629953819
11,0.0183996886470481
12,0.0296849278639612
13,0.017244431206909
14,0.00190841634681033
15,0.0178457370284613
16,0.00885815540437075
17,0.0193371324847009
18,0.00478689671524973
19,0.0420627662359241
20,0.00519155420058074
21,0.00811228788372238
22,0.021272829834188
23,0.00734358095944703
24,0.000889608149629634
25,0.0230877030551416
26,0.0143830860286042
27,0.0255049647952546
28,0.00352649289706865
29,0.000487143928203158
30,0.00169877913525228
31,0.0244295454627305
32,0.0285008429900721
33,0.0356673448513273
34,0.015915444071809
35,0.00257041812672501
36,0.0137052810898348
37,0.0102610030035263
38,0.0465760606817689
39,0.0556845272858921
40,0.046852331568866
41,0.0038926933280864
42,0.0382569554273019
43,0.000405313939797649
44,0.0223789813900428
45,0.0117972154657045
46,0.0318113870305179
47,0.0369715723571909
48,0.0149106740947504
49,0.00720735064964566
50,0.0633866090347605
51,0.0240925953937949
52,0.0121016952402784
53,0.031683093389534
54,0.0131807434688571
55,0.0276183622338657
56,0.022210777346158
57,0.0146587049826166
58,0.00268513825975338
59,0.0120122762934459
60,0.0172799068374829
61,0.000604102559865737
62,0.0389960722205041
63,0.0424554309466198
64,0.0222002927761043
65,0.0260989931355332
66,0.0172649577494714
67,0.00329643429733102
68,0.0258891228095016
69,0.0234519023032623
70,0.0304296909509416
71,0.000996665632347671
72,0.013069014583487
73,0.0464991086612577
74,0.00234845215834678
75,0.0157792327762515
76,0.0222786428398505
77,0.0259426129026845
78,0.0152933063735123
79,0.00542884486891524
80,0.00465393618266464
81,0.000531319073383055
82,0.0165015925914059
83,0.0490265802587229
84,0.0247171972140492
85,0.0016357647387609
86,0.0244268066444121
87,0.0227347455778075
88,0.0109807642462301
89,0.0346170821460948
90,0.000863547954729972
91,0.0270703407513507
92,0.0426382517061439
93,0.0336137185594888
94,0.0199796125254045
95,0.0152370486078712
96,0.0218887656758758
97,0.0492840920840762
98,0.035564533316971
99,0.0157581193816076
100,0.0227021741787393
101,0.0289341494497309
102,0.0388091867032036
103,0.0268804033494276
104,0.0394646272302405
105,0.0260828325470986
106,0.0012738926424246
107,0.000582836357649954
108,0.00197543361587921
109,0.034637345635238
110,0.0132889584118087
111,0.0327590077390113
112,0.0175876326936553
113,0.0169218567608953
114,0.0259704910655892
115,0.0168664595669828
116,0.0316000253696736
117,0.0304524455938453
118,0.0198526636495983
119,0.0214769234621
120,0.0309401884899115
121,0.0202886960249476
122,0.0356495958268892
123,0.0295584467845754
124,0.0224445813827027
125,0.0240908816391707
126,0.0300903449094745
127,0.00664488748317977
128,0.0197219088299273
129,0.00328533470934325
130,0.0374010251531903
131,0.0197815083571165
132,0.085442359477128
133,0.037674687521331
134,0.0289661782044672
135,0.029317470152471
136,0.0237990306311242
137,0.0323873466923562
138,0.0159346914632764
139,0.0185615981075892
140,0.00060608911383978
141,0.0203360822230568
142,0.0026900054205169
143,0.000572214520890695
144,0.0131484593748427
145,0.0293076219874241
146,0.0380772628860686
147,0.00925290776563764
148,0.0148475304070474
149,0.0281229808506064
150,0.000393515294566772
151,0.059989430347205
152,0.000439302488577372
153,0.00292064552768008
154,0.0261496703961991
155,0.00425457147216792
156,0.000476246180837409
157,0.0137417932995796
158,0.0203241636979923
159,0.000592901446866822
160,0.00445358476738701
161,0.00255629709480594
162,0.0113904023461445
163,0.00905994802375892
164,0.0328563433128545
165,0.0252124956711691
166,0.0315483491679829
167,0.0109046319508588
168,0.0118973153063387
169,0.00486188930132993
170,0.0188931601174543
171,0.00844343580175214
172,0.0284885700393779
173,0.00292425337525792
174,0.00829264375525728
175,0.00181066877014502
