"Gene","Module"
"EDNRA","brown"
"INA","turquoise"
"SNCA","magenta"
"TIE1","greenyellow"
"PTPRZ1","grey"
"CXCL1","grey"
"GAP43","turquoise"
"GEM","greenyellow"
"ZNF592","blue"
"ZNF142","turquoise"
"MMP1","grey"
"PC","grey"
"RABIF","magenta"
"OSTF1","greenyellow"
"BBLN","tan"
"BRPF1","grey"
"CLDN5","brown"
"ENO3","turquoise"
"PIK3C2B","brown"
"TOM1L1","yellow"
"KCNQ1","green"
"DOLK","blue"
"CD44","grey"
"PDE4D","turquoise"
"ARHGAP11A","yellow"
"BID","grey"
"C15orf39","turquoise"
"STRN3","red"
"ADCY9","magenta"
"AGTPBP1","pink"
"CCN3","grey"
"SAMHD1","green"
"EVPL","brown"
"HIRIP3","blue"
"DMTN","grey"
"PPP3R1","grey"
"CDC7","yellow"
"FARP2","blue"
"HIVEP1","grey"
"ELMO1","green"
"DPH2","grey"
"HSD3B1","brown"
"ATXN7","pink"
"PPIC","brown"
"PLLP","brown"
"BRD1","red"
"FAM216A","yellow"
"DXO","blue"
"ZNF140","red"
"PDPK1","turquoise"
"PHF14","red"
"TBC1D8","brown"
"MYO5A","magenta"
"NAP1L1","yellow"
"TOX","green"
"BRCA1","yellow"
"UGT1A9","brown"
"CXCL10","green"
"VTN","turquoise"
"REST","red"
"GABRE","brown"
"NPIPA1","pink"
"CELSR1","brown"
"EEF1A2","grey"
"SEC14L2","grey"
"ST6GALNAC2","magenta"
"RAPGEF1","grey"
"HPS5","magenta"
"PEX6","blue"
"KIAA0513","brown"
"RAB40B","brown"
"STAR","brown"
"IKBKE","green"
"GSTM1","grey"
"AHSG","turquoise"
"INPP4A","green"
"PPP1R3D","grey"
"DZIP1","red"
"RAD54L","yellow"
"LSM7","blue"
"FKBP5","grey"
"APOC2","grey"
"IRF4","green"
"SELL","green"
"PCGF3","pink"
"ACOT13","yellow"
"PPM1D","yellow"
"ABCG1","green"
"ATG14","pink"
"CILK1","red"
"COX7A1","brown"
"PIN4","red"
"CROT","pink"
"MMP19","turquoise"
"CLUAP1","grey"
"PPIP5K1","brown"
"FGFR4","turquoise"
"MMP12","green"
"CD22","green"
"KLK3","turquoise"
"L1CAM","magenta"
"BSN","turquoise"
"SLC25A14","turquoise"
"SLC7A7","green"
"NUAK1","brown"
"VPS33A","grey"
"CHL1","grey"
"DLG4","grey"
"MIEF1","yellow"
"STC1","grey"
"UBOX5","turquoise"
"MRPL28","blue"
"N4BP1","turquoise"
"DKK1","turquoise"
"EXO1","yellow"
"CDK14","turquoise"
"CGRRF1","red"
"CCL21","green"
"HMGCS2","turquoise"
"ASL","grey"
"CCDC85B","blue"
"PPP2R5B","tan"
"PKIA","turquoise"
"PLCG2","green"
"SERPINB2","brown"
"IDI1","black"
"UCHL3","brown"
"ACD","blue"
"GABPB1","red"
"VCAN","cyan"
"NR4A2","red"
"TFF3","turquoise"
"ATP7B","turquoise"
"ITGB3","turquoise"
"PARVB","magenta"
"GOSR1","pink"
"MYH2","grey"
"RPS6KA4","green"
"RPS6KA5","red"
"NEK4","yellow"
"COL17A1","brown"
"CGA","turquoise"
"ACP5","green"
"ADA","green"
"SPOP","grey"
"NEK2","yellow"
"S1PR1","turquoise"
"ENOX2","red"
"CCNT2","red"
"DPYD","green"
"HOMER3","blue"
"NPR1","turquoise"
"TROAP","turquoise"
"APBB3","turquoise"
"NRF1","turquoise"
"TFAP2A","magenta"
"SHB","brown"
"TRA2A","pink"
"GFER","grey"
"CD52","green"
"CCP110","red"
"ME3","turquoise"
"ALPP","turquoise"
"SIKE1","pink"
"FOXA1","turquoise"
"RNF24","blue"
"HLA-DRB5","green"
"ANKRD6","red"
"MUC2","turquoise"
"IRAG2","green"
"SRD5A1","brown"
"TMEM186","grey"
"CDH5","cyan"
"KCNK1","brown"
"RAPGEF5","brown"
"LTBP2","turquoise"
"ICAM2","green"
"NPTX1","grey"
"ATP2B2","turquoise"
"IRS1","grey"
"PARM1","brown"
"SGCE","grey"
"HHEX","green"
"STX8","grey"
"PLA2G6","turquoise"
"LRCH4","green"
"CDC42EP1","blue"
"AFP","turquoise"
"CDC25A","yellow"
"CHGA","turquoise"
"ISG20","green"
"UTP25","yellow"
"STOML1","tan"
"NFE2L3","green"
"IFT88","turquoise"
"ALDOB","turquoise"
"INPP5E","pink"
"MAPK4","turquoise"
"KIF23","yellow"
"KIAA0753","pink"
"WIF1","brown"
"F5","turquoise"
"PANX1","grey"
"CCDC6","brown"
"SLC29A2","grey"
"EPHB6","brown"
"ABCA8","brown"
"DNAJC6","yellow"
"SCN3B","turquoise"
"COL9A3","grey"
"NCK1","black"
"CDH13","brown"
"WDHD1","yellow"
"STX1A","turquoise"
"RIMS3","brown"
"TGFBR3","brown"
"TRIM23","red"
"KLK6","brown"
"KRT15","brown"
"PDE4A","brown"
"CSPG4","magenta"
"MYH7","grey"
"KRIT1","midnightblue"
"CENPC","red"
"CNKSR1","brown"
"BICD1","pink"
"PDS5B","red"
"TAGLN3","turquoise"
"IARS1","purple"
"MT1G","grey"
"PICK1","turquoise"
"IFIT3","lightcyan"
"PTGS2","grey"
"NAP1L3","greenyellow"
"DSC2","brown"
"PARP2","red"
"HLF","brown"
"MAP2K5","grey"
"C2CD2L","turquoise"
"RCBTB2","red"
"NR1D1","turquoise"
"USP6NL","black"
"GNAO1","turquoise"
"ARHGEF5","brown"
"NUDT1","blue"
"FEN1","yellow"
"TAP2","green"
"TTF1","midnightblue"
"IL11RA","brown"
"EVI2A","green"
"CHAF1B","yellow"
"THBS4","cyan"
"MAL","grey"
"HOXB7","blue"
"FAS","green"
"MLF1","yellow"
"IFNAR2","green"
"VSIG4","green"
"PPOX","pink"
"FMNL1","green"
"SMAD7","greenyellow"
"NR2C1","pink"
"IFT140","blue"
"GPRASP1","pink"
"DUSP2","green"
"PRR3","blue"
"EML1","brown"
"MYB","turquoise"
"ZBED4","grey"
"DHRS12","turquoise"
"RRAD","brown"
"TRIM21","lightcyan"
"H1-10","blue"
"HLA-F","green"
"RXYLT1","yellow"
"CLPX","black"
"CKM","turquoise"
"CACNA2D2","pink"
"ZW10","grey"
"MAPK10","turquoise"
"CADPS","turquoise"
"DHX34","turquoise"
"ESPL1","yellow"
"HSD17B2","brown"
"FGD1","magenta"
"BTN3A3","green"
"TTK","yellow"
"NAV3","grey"
"ENDOG","blue"
"MELK","yellow"
"CCNF","grey"
"RAD9A","turquoise"
"FOLR2","green"
"PSG5","turquoise"
"CDK8","yellow"
"BMPR1A","red"
"ATG12","red"
"FGL2","green"
"POLA1","yellow"
"GLDC","grey"
"MTMR9","turquoise"
"MLH3","turquoise"
"POP5","grey"
"EEA1","red"
"PRKAR2A","grey"
"ENPEP","turquoise"
"CP","green"
"ZBTB11","red"
"HBG1","turquoise"
"TCFL5","magenta"
"DCX","turquoise"
"PTPN7","green"
"ORC2","yellow"
"P3H3","grey"
"SERPINB5","brown"
"B3GNT3","turquoise"
"MAD1L1","blue"
"TYMP","green"
"APAF1","turquoise"
"NAIP","pink"
"NME3","blue"
"IL6ST","black"
"CA3","brown"
"JADE3","grey"
"GCHFR","green"
"MRPL58","grey"
"PCSK2","brown"
"MTERF1","yellow"
"TLE4","brown"
"PEX1","red"
"BAIAP3","brown"
"GMDS","grey"
"ZNF646","grey"
"TAOK2","blue"
"PDPN","greenyellow"
"MGMT","brown"
"UGCG","yellow"
"ARHGAP25","green"
"HUS1","yellow"
"MSLN","grey"
"PLK4","yellow"
"NEURL1","turquoise"
"LCK","green"
"EEF1A1","salmon"
"ZFYVE9","turquoise"
"AOC3","brown"
"MUC4","turquoise"
"PTGER4","green"
"SAP30","black"
"BTRC","turquoise"
"ATG4B","blue"
"GJA4","greenyellow"
"EEF1E1","yellow"
"RPS6KA2","grey"
"BCL3","green"
"DDX6","turquoise"
"TRIM3","turquoise"
"IL10RA","green"
"SOX11","turquoise"
"RAMP1","grey"
"MLLT3","green"
"PRR4","turquoise"
"CPS1","turquoise"
"DRC4","turquoise"
"TOP6BL","grey"
"SASH3","green"
"TLR2","green"
"CTNS","blue"
"INHBA","turquoise"
"RASSF7","turquoise"
"SLC10A3","brown"
"VAMP5","green"
"BNIP1","turquoise"
"TCF21","turquoise"
"TNFRSF11B","grey"
"HPN","grey"
"PTPN2","pink"
"MAP4K2","grey"
"ZNF274","greenyellow"
"PLN","brown"
"ALDH3B2","brown"
"PTPRG","yellow"
"PTPRN","turquoise"
"TOP3A","turquoise"
"FST","turquoise"
"ICAM3","green"
"CARD8","green"
"RHOH","green"
"LYPD3","brown"
"SNAP91","turquoise"
"DYRK1B","blue"
"SRPX","yellow"
"MTAP","grey"
"ORC5","yellow"
"PLK3","grey"
"MNDA","green"
"PTPRCAP","green"
"NCF1","green"
"CENPA","yellow"
"SSPN","grey"
"GC","turquoise"
"ADGRB2","blue"
"SHROOM2","blue"
"C6orf47","grey"
"RDX","black"
"MAFG","blue"
"CSTA","brown"
"OAS2","lightcyan"
"GJB1","magenta"
"RAB3A","turquoise"
"EMP2","brown"
"AMMECR1","grey"
"DDX10","red"
"CLASRP","turquoise"
"SH3BGR","turquoise"
"CLOCK","turquoise"
"SLC67A1","blue"
"GIT2","purple"
"GPC4","turquoise"
"TRAPPC6A","tan"
"ITIH2","turquoise"
"FGB","turquoise"
"ITGB4","brown"
"NF2","blue"
"PFN2","yellow"
"GNAZ","turquoise"
"MX2","lightcyan"
"CDK5R1","magenta"
"GPD1","brown"
"ATF5","green"
"DDX3Y","grey"
"AHDC1","grey"
"DOCK4","red"
"NKRF","red"
"NMT2","turquoise"
"CIB2","blue"
"TFF1","turquoise"
"GNL3L","turquoise"
"VWA5A","brown"
"HAGH","blue"
"ADORA2A","green"
"FGFBP1","brown"
"TGFA","turquoise"
"VIPR1","brown"
"ARL4A","red"
"FOXN3","brown"
"RAD51","turquoise"
"ZBTB48","grey"
"STAT5B","green"
"MAP3K8","green"
"TRO","pink"
"FABP7","grey"
"EFNB3","turquoise"
"ITGA2","brown"
"DEFA1","turquoise"
"CCNE2","yellow"
"CTDP1","blue"
"LSM6","red"
"IFT27","blue"
"IKZF1","green"
"ORM1","turquoise"
"GNE","black"
"CFTR","turquoise"
"GABRP","turquoise"
"AKAP10","pink"
"CENPE","yellow"
"ASNS","grey"
"PSPHP1","grey"
"CD79A","green"
"MAPK8IP2","turquoise"
"KIT","magenta"
"AUH","red"
"PRIM1","yellow"
"NEB","turquoise"
"ITGAE","red"
"GPR162","turquoise"
"IDUA","turquoise"
"PARG","yellow"
"EXOSC9","yellow"
"ARID4A","pink"
"GEMIN2","red"
"SPRR1B","brown"
"ENPP1","grey"
"IL1B","turquoise"
"ARHGAP26","turquoise"
"ING3","red"
"XRCC4","yellow"
"CYP2J2","brown"
"SLC22A5","pink"
"SERPINF2","turquoise"
"MTMR11","turquoise"
"PIGF","black"
"MPDZ","yellow"
"RARB","turquoise"
"CRIP1","brown"
"AOX1","turquoise"
"BCAP29","yellow"
"ORC1","yellow"
"NCAPH2","turquoise"
"RWDD3","red"
"MAMLD1","grey"
"ZNF7","red"
"NAGPA","blue"
"RECQL","yellow"
"ZBTB1","red"
"PLEKHA6","grey"
"PEX12","turquoise"
"ATP6V0A1","blue"
"POM121","magenta"
"SLC26A2","grey"
"CCR1","green"
"GFPT2","cyan"
"CIITA","turquoise"
"TMPRSS2","turquoise"
"MIR9-1HG","turquoise"
"SNPH","grey"
"MAN2A1","green"
"MTCP1","grey"
"EFNA4","brown"
"APOB","turquoise"
"ARHGEF4","brown"
"FGF13","red"
"PLCE1","turquoise"
"NEFM","grey"
"CCL3","green"
"RBM19","grey"
"LAMA2","brown"
"FGF1","turquoise"
"FPR1","green"
"SGCB","grey"
"TMEFF1","yellow"
"BORCS8-MEF2B","green"
"PLCD1","brown"
"VRK2","black"
"PTGS1","brown"
"NPM3","blue"
"MOK","magenta"
"CLEC11A","blue"
"ACTC1","turquoise"
"HSPE1","yellow"
"NUFIP1","yellow"
"USH1C","turquoise"
"UST","grey"
"FPGT","red"
"ANG","brown"
"ABCD1","blue"
"NCAN","turquoise"
"MYL5","turquoise"
"APBA3","grey"
"NCF4","green"
"CLCN4","turquoise"
"TRIL","turquoise"
"SLC6A1","turquoise"
"CD40","green"
"LRRN2","turquoise"
"SPTBN2","brown"
"ASIC1","turquoise"
"KRT17","brown"
"RNASE4","brown"
"CSF2RB","green"
"PEX11A","grey"
"ERCC8","turquoise"
"MYL11","grey"
"GCAT","blue"
"CELSR3","turquoise"
"CAPN5","turquoise"
"CDC25C","turquoise"
"DDR2","grey"
"RBBP5","blue"
"STAT2","grey"
"PTPN4","red"
"CLTB","brown"
"CD58","black"
"QPCT","magenta"
"KHK","turquoise"
"ITGB3BP","yellow"
"TNNI1","grey"
"RBBP6","midnightblue"
"ADAM8","green"
"ZSCAN9","grey"
"ZNF324","tan"
"GNG4","turquoise"
"SPINK5","brown"
"DNALI1","grey"
"SMAD5","grey"
"FANCC","turquoise"
"PLS1","turquoise"
"RP2","red"
"MAP3K14","grey"
"MAFF","grey"
"PSPH","yellow"
"AP1S1","blue"
"ATP7A","red"
"CA9","turquoise"
"CLEC3B","brown"
"GLI3","blue"
"PCMT1","purple"
"NMB","grey"
"RELB","green"
"ANOS1","turquoise"
"IL6","brown"
"ALDH1L1","turquoise"
"ACVR1B","brown"
"TGFBRAP1","magenta"
"RIN1","brown"
"ACAP1","green"
"STK17B","green"
"RNF2","yellow"
"APOH","turquoise"
"TIMM8A","red"
"POLR3F","yellow"
"GALK2","blue"
"HCAR3","brown"
"HGD","turquoise"
"EHHADH","red"
"DEPDC5","grey"
"SURF2","grey"
"ESR1","turquoise"
"PDGFRL","cyan"
"IL1RAP","yellow"
"RBMS2","turquoise"
"COCH","brown"
"RPH3A","grey"
"EPM2A","turquoise"
"PAFAH2","turquoise"
"SLC16A4","magenta"
"KIF20B","yellow"
"SOD3","brown"
"FCN1","green"
"TRMT2B","turquoise"
"AREG","brown"
"GPSM2","brown"
"SCO2","grey"
"CXCL13","green"
"SLC13A3","grey"
"PARD6A","blue"
"PEX13","black"
"NOTCH4","turquoise"
"DOP1B","turquoise"
"EGR2","greenyellow"
"CEP290","red"
"PER2","brown"
"ZNF174","grey"
"PBX1","brown"
"TCF7","pink"
"ZBTB39","turquoise"
"AMPH","green"
"INHBB","brown"
"NR3C2","brown"
"ACYP1","yellow"
"PGC","turquoise"
"KCNH2","turquoise"
"BCL10","black"
"POLR1G","grey"
"SPEG","turquoise"
"LIF","grey"
"POU2AF1","green"
"ADD2","turquoise"
"LCP2","green"
"CDK20","turquoise"
"PRH1","turquoise"
"PITRM1","magenta"
"GTPBP1","turquoise"
"GAD1","turquoise"
"GLRB","turquoise"
"PIGA","red"
"LRP8","yellow"
"FKTN","pink"
"URB2","yellow"
"FYB1","green"
"TFAP2C","brown"
"CDC14A","turquoise"
"BMP2","brown"
"IL2RB","green"
"HNRNPA2B1","yellow"
"BAIAP2","brown"
"CKMT2","grey"
"RBL1","yellow"
"CD79B","green"
"BTN2A2","yellow"
"SNRNP35","brown"
"OGG1","turquoise"
"IGFBP1","turquoise"
"KCNJ8","turquoise"
"FGL1","turquoise"
"KMO","green"
"ZC2HC1A","grey"
"SMPDL3B","grey"
"FBXO46","grey"
"DDC","grey"
"SPI1","green"
"HNF1B","turquoise"
"SNTB2","turquoise"
"SLC15A2","turquoise"
"KIF5A","turquoise"
"PSCA","grey"
"APC2","grey"
"EIF2S3","blue"
"MTF1","tan"
"FTSJ1","grey"
"PHYHIP","brown"
"RAMP3","green"
"ACVR2A","turquoise"
"CLDN10","brown"
"SNX4","yellow"
"MN1","brown"
"REEP2","turquoise"
"RCE1","grey"
"S100A1","magenta"
"SRP19","black"
"PVALB","turquoise"
"DCT","grey"
"STIL","yellow"
"ZBTB24","red"
"EHD2","brown"
"SULT1C2","turquoise"
"CSPG5","grey"
"BARD1","red"
"ST3GAL2","turquoise"
"TMSB15A","red"
"DYNC1I1","grey"
"GNA15","brown"
"CRABP1","brown"
"GGCX","turquoise"
"SERPINI1","grey"
"PEBP1","magenta"
"GAMT","blue"
"ACADSB","red"
"USP13","magenta"
"AGTR1","turquoise"
"GRIA2","turquoise"
"AKAP6","turquoise"
"PFDN4","yellow"
"BBOX1","brown"
"ACOX2","turquoise"
"HOXB6","turquoise"
"SH2B2","pink"
"FAM131B","grey"
"DBT","pink"
"PLAG1","pink"
"CTNNA2","magenta"
"SLN","turquoise"
"MDFI","grey"
"INPP4B","magenta"
"ACHE","turquoise"
"CBR3","grey"
"PDZK1","brown"
"LRRC17","turquoise"
"CFD","brown"
"ZBTB20","pink"
"FXYD1","brown"
"MDM2","grey"
"CGB3","turquoise"
"TNNC2","turquoise"
"ANK1","turquoise"
"CCL14","brown"
"CHEK1","yellow"
"MRE11","red"
"SMAD3","turquoise"
"DCLK1","brown"
"WAS","green"
"AGPS","yellow"
"PRSS2","brown"
"IL1R2","brown"
"HSD11B1","brown"
"SEMA5A","blue"
"SPA17","grey"
"RECK","turquoise"
"MLLT10","pink"
"FOSL2","brown"
"ATP2B4","brown"
"STK4","green"
"ACAT1","black"
"MPPED2","magenta"
"ARHGAP44","turquoise"
"ATXN3","pink"
"DAG1","blue"
"FES","green"
"GPR183","green"
"PEX7","turquoise"
"SLC22A3","greenyellow"
"ITGBL1","turquoise"
"AP1B1","blue"
"TBKBP1","turquoise"
"HIP1","magenta"
"ZNF354A","red"
"CALB2","brown"
"PALS2","yellow"
"BMP5","turquoise"
"OVGP1","green"
"BCHE","yellow"
"AAK1","turquoise"
"H2AX","yellow"
"ZNF211","pink"
"GSTT2","grey"
"NPY1R","brown"
"OCEL1","turquoise"
"MFAP3L","grey"
"SNAPC1","yellow"
"ATP2A1","turquoise"
"PRL","turquoise"
"ATF2","red"
"MAP3K12","magenta"
"SAC3D1","grey"
"PHKA1","turquoise"
"FOXO4","brown"
"PIGB","magenta"
"HOXB2","grey"
"HPCA","grey"
"MST1R","brown"
"CD3E","green"
"ILRUN","grey"
"MC1R","magenta"
"NPAS2","grey"
"RAB35","grey"
"HPCAL1","blue"
"PDGFA","grey"
"SCNN1B","brown"
"HS3ST1","magenta"
"CASP10","turquoise"
"IRF5","turquoise"
"KLK11","brown"
"DACH1","turquoise"
"ATP6V1B1","turquoise"
"CRLF3","green"
"SCRG1","grey"
"CCL20","grey"
"AMBP","turquoise"
"PPP1R1A","turquoise"
"PLAU","cyan"
"UGP2","black"
"ADORA1","turquoise"
"SNX15","brown"
"ISG15","lightcyan"
"SIT1","green"
"RYR1","grey"
"TESK2","turquoise"
"VGLL1","turquoise"
"GZMA","green"
"CRYM","turquoise"
"GJB3","brown"
"DPYSL4","turquoise"
"ZNF821","turquoise"
"GNLY","green"
"KIAA0408","turquoise"
"ZNF175","pink"
"GHR","brown"
"SRPX2","turquoise"
"C5","turquoise"
"PDE10A","turquoise"
"CYP17A1","grey"
"PTPN14","blue"
"BTK","green"
"GCNT1","green"
"VIL1","turquoise"
"ARHGEF15","turquoise"
"SCN1B","turquoise"
"CPB1","turquoise"
"GABPB1-IT1","grey"
"AIFM1","purple"
"TCN1","grey"
"ZNF415","turquoise"
"PRSS12","brown"
"CIZ1","blue"
"GATA4","grey"
"CMAHP","green"
"WDR76","grey"
"STRN","pink"
"EXOG","pink"
"HOXD4","pink"
"HAPLN1","grey"
"KATNA1","greenyellow"
"GEMIN4","grey"
"RUNX1T1","turquoise"
"ETFDH","brown"
"GLS2","brown"
"CDH6","turquoise"
"PCDH7","grey"
"VAV2","grey"
"CORO2A","brown"
"AVIL","red"
"RRAGB","grey"
"GSPT2","black"
"STEAP1","yellow"
"HSPA4L","grey"
"CR2","green"
"DNAJC8","yellow"
"TYK2","blue"
"TAGLN","brown"
"BTG3","yellow"
"PCP4","brown"
"BABAM2","brown"
"SV2B","grey"
"CSRP3","turquoise"
"DNASE1L3","green"
"MSX2","grey"
"BPI","grey"
"TRAF6","turquoise"
"PCSK5","brown"
"KCTD17","turquoise"
"RPP38","brown"
"KISS1","grey"
"PAGE4","turquoise"
"FXN","grey"
"ABHD2","magenta"
"CHST1","turquoise"
"AQP9","brown"
"LAMP3","greenyellow"
"PIP4K2A","grey"
"LIPT1","red"
"ANGPT2","grey"
"SNX7","black"
"C1QL1","turquoise"
"SERPIND1","turquoise"
"PYGM","turquoise"
"ROR2","turquoise"
"HRH1","turquoise"
"NOS3","turquoise"
"GGT5","greenyellow"
"ALG13","red"
"ETV6","grey"
"VGF","grey"
"CEP43","turquoise"
"MYL3","turquoise"
"RASGRP1","green"
"OLFM1","grey"
"SLC4A1","turquoise"
"PDE9A","turquoise"
"ZNF652","pink"
"DSG3","brown"
"SMURF2","red"
"SLC44A4","turquoise"
"TRAIP","yellow"
"TRAF1","green"
"HOXB5","turquoise"
"PSG7","grey"
"DIAPH2","pink"
"HOXD9","turquoise"
"LRP6","grey"
"SCYL3","red"
"ANGPT1","turquoise"
"MYOM1","turquoise"
"TNFSF12","grey"
"MMRN1","turquoise"
"SYT17","turquoise"
"MST1","turquoise"
"CPA1","grey"
"KCNA6","grey"
"PRRG2","turquoise"
"PRRG1","red"
"MEOX1","brown"
"F10","brown"
"ALKBH1","grey"
"SMPD2","blue"
"ALDH3A1","brown"
"CPA3","brown"
"CALB1","turquoise"
"CDA","brown"
"PRIM2","yellow"
"CRH","turquoise"
"KIAA0586","turquoise"
"PIP5K1B","turquoise"
"ALAS1","purple"
"MBOAT7","blue"
"KALRN","turquoise"
"SH3GL3","turquoise"
"ADGRB3","pink"
"AOAH","green"
"ALDH3B1","grey"
"CNTRL","pink"
"PPP2R2B","turquoise"
"SNRPG","yellow"
"REPS2","grey"
"PAX6","grey"
"RAD52","pink"
"WNT2","turquoise"
"FGA","turquoise"
"RAPGEF4","pink"
"TTLL1","blue"
"CTSG","brown"
"C4BPA","turquoise"
"MDM4","grey"
"PCDH17","grey"
"HAAO","turquoise"
"SNAPC4","turquoise"
"HDAC9","turquoise"
"OASL","lightcyan"
"FLAD1","blue"
"B9D1","turquoise"
"PCBP3","turquoise"
"KIN","red"
"TSPAN9","brown"
"FMO1","brown"
"WRN","red"
"LY75","green"
"NCAM2","turquoise"
"GAL3ST1","turquoise"
"HLA-DOB","green"
"XPA","brown"
"ASB9","grey"
"FXYD2","turquoise"
"MTTP","turquoise"
"CYP27B1","turquoise"
"DLEU1","yellow"
"AP3B2","turquoise"
"ACAN","grey"
"MMP10","grey"
"BCL2A1","yellow"
"APOM","grey"
"TPSAB1","brown"
"DENND4C","brown"
"CD86","green"
"UBFD1","yellow"
"TFAP4","turquoise"
"PCNX2","turquoise"
"BUD31","blue"
"SYNGR3","grey"
"CD38","green"
"TNNT3","turquoise"
"TYRP1","magenta"
"SDS","grey"
"GFRA1","grey"
"SCGN","turquoise"
"MAP2K6","turquoise"
"HSD17B6","turquoise"
"IPO8","grey"
"PHTF1","turquoise"
"ATP6V0A2","grey"
"ANKRD26","turquoise"
"IL17RA","grey"
"TRPM2","turquoise"
"CDS1","brown"
"LRP2","grey"
"ATP5F1C","black"
"PTPRD","turquoise"
"COMP","brown"
"ZMYND10","turquoise"
"BST1","grey"
"SLC25A40","yellow"
"PCDHGC3","blue"
"ITGB7","green"
"PAH","turquoise"
"POMC","grey"
"GFRA2","turquoise"
"CNTFR","turquoise"
"PKP1","brown"
"SCGB1A1","grey"
"TEP1","turquoise"
"TENM1","turquoise"
"OSMR","grey"
"ABLIM3","greenyellow"
"NCOA2","red"
"BLM","yellow"
"AFF3","turquoise"
"PGAM2","turquoise"
"KCNQ2","turquoise"
"FABP3","turquoise"
"ZNF107","red"
"RBM42","blue"
"DTNA","turquoise"
"TNNI3","grey"
"STAC","turquoise"
"DOC2A","pink"
"ADAM17","red"
"CBLN1","turquoise"
"RNF126","tan"
"CYP1A1","turquoise"
"BPHL","grey"
"SH3GL2","turquoise"
"GSTM5","turquoise"
"CRP","turquoise"
"F2","turquoise"
"ITIH3","green"
"F8","grey"
"ENTPD5","turquoise"
"CD8A","green"
"SULT2B1","brown"
"DUS4L","yellow"
"DDX18","yellow"
"CSNK1A1","brown"
"CYP3A5","brown"
"TCAP","grey"
"EREG","brown"
"SLC27A2","brown"
"GSR","purple"
"AKAP7","turquoise"
"CPEB3","turquoise"
"F12","grey"
"FAM50B","grey"
"FMO5","turquoise"
"DUSP9","magenta"
"KLK7","brown"
"RAMP2","grey"
"BIK","grey"
"VPS9D1","grey"
"FGF7","pink"
"KLK13","brown"
"ARVCF","turquoise"
"ITGAM","green"
"ZC3H11A","red"
"CD1D","green"
"SKAP1","green"
"ZNF230","red"
"CCN5","brown"
"TNK1","brown"
"NOVA1","turquoise"
"NRXN3","grey"
"TCP11L1","green"
"IL7R","green"
"SLC3A1","turquoise"
"RASGRP3","green"
"TRPC1","pink"
"TRAF3IP3","green"
"ROR1","turquoise"
"ROM1","turquoise"
"TUFT1","brown"
"ASPH","red"
"WASL","blue"
"POLG2","red"
"SULT1C4","grey"
"MAT1A","magenta"
"GRM3","turquoise"
"REG3A","turquoise"
"ITGB8","turquoise"
"SIX1","turquoise"
"BRINP1","turquoise"
"MARCO","green"
"APOC3","grey"
"KLRK1","green"
"HMGCS1","brown"
"RGS12","magenta"
"HSPB2","grey"
"PCSK1","grey"
"MYOM2","brown"
"CCK","grey"
"MMP3","grey"
"HSD17B1","brown"
"CLGN","grey"
"CD2","green"
"CPA4","brown"
"PART1","turquoise"
"YTHDC2","red"
"GYPA","turquoise"
"TSPOAP1","brown"
"GH1","turquoise"
"JAK2","green"
"CRAT","brown"
"VNN1","green"
"CACNA1H","turquoise"
"PTPRB","turquoise"
"PRSS22","brown"
"GAS2","red"
"UQCRB","yellow"
"GABRB3","grey"
"NME6","grey"
"CDK5R2","grey"
"ZBTB7B","grey"
"TULP3","blue"
"ZNF197","turquoise"
"SLC14A1","brown"
"SLC18A2","brown"
"NGFR","grey"
"LY86","green"
"FOLH1","turquoise"
"SPIB","green"
"GREB1","magenta"
"S100A12","grey"
"SLC7A4","turquoise"
"ARID3A","grey"
"FCN3","green"
"PTPN11","yellow"
"PRSS1","turquoise"
"BDKRB2","brown"
"PLGLB2","pink"
"PDE4DIP","green"
"PIGL","turquoise"
"ITPKA","grey"
"TREX1","tan"
"LIFR","turquoise"
"ZC3H7B","pink"
"POU6F1","turquoise"
"RET","turquoise"
"PRKD1","yellow"
"ZNF74","blue"
"ZBTB16","brown"
"ITGA4","green"
"REG1B","grey"
"MSH3","yellow"
"JAKMIP2","turquoise"
"UBD","green"
"ADORA2B","grey"
"FABP1","grey"
"NLGN1","yellow"
"ARSL","blue"
"NOLC1","yellow"
"SLC22A4","turquoise"
"NFATC4","turquoise"
"CX3CR1","brown"
"CCNA1","turquoise"
"KRT1","brown"
"PNOC","green"
"KCNN3","turquoise"
"MICA","magenta"
"FOXJ1","grey"
"OMD","brown"
"POLE2","yellow"
"CEL","pink"
"PTH1R","brown"
"PNLIP","turquoise"
"PLIN1","turquoise"
"GRIN1","turquoise"
"S100A7","brown"
"ZNF264","pink"
"SLC4A3","pink"
"HBE1","turquoise"
"SLC6A6","grey"
"VNN2","green"
"RELN","turquoise"
"RAB3B","grey"
"IL27RA","green"
"CTSE","turquoise"
"ZNF443","pink"
"GPA33","turquoise"
"GTF2E1","black"
"CREB5","grey"
"MSX1","grey"
"SETBP1","brown"
"PLCL1","grey"
"FOXF1","turquoise"
"HK3","grey"
"CGREF1","blue"
"PPM1E","turquoise"
"CYP3A7","turquoise"
"MYH3","grey"
"COL10A1","turquoise"
"ACSM3","turquoise"
"TDO2","green"
"CLTCL1","turquoise"
"IL6R","magenta"
"VIPR2","turquoise"
"PTPRT","turquoise"
"CA1","turquoise"
"MYH1","grey"
"KCNK3","turquoise"
"LRIG2","pink"
